2026-08-14 13:18:32.791 -06:00 [INF] Iniciando aplicación Convergex
2026-08-14 13:18:42.236 -06:00 [INF] Start processing HTTP request GET https://open.er-api.com/v6/latest/USD
2026-08-14 13:18:42.394 -06:00 [INF] Sending HTTP request GET https://open.er-api.com/v6/latest/USD
2026-08-14 13:18:42.957 -06:00 [INF] Received HTTP response headers after 520.5717ms - 200
2026-08-14 13:18:42.972 -06:00 [INF] End processing HTTP request after 755.0864ms - 200
2026-08-14 13:18:43.360 -06:00 [INF] Sincronización automática de tasas de cambio completada: 3 tasa(s) publicadas.
2026-08-14 13:18:47.161 -06:00 [INF] HTTP GET / respondió 302 en 318.8849 ms
2026-08-14 13:18:47.767 -06:00 [INF] HTTP GET /Account/Login respondió 200 en 559.6423 ms
2026-08-14 13:18:48.033 -06:00 [INF] HTTP GET /css/login.css respondió 200 en 87.6436 ms
2026-08-14 13:18:48.108 -06:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css respondió 200 en 161.5468 ms
2026-08-14 13:18:48.108 -06:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js respondió 200 en 16.5477 ms
2026-08-14 13:18:48.110 -06:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js respondió 200 en 16.2471 ms
2026-08-14 13:18:48.121 -06:00 [INF] HTTP GET /images/convergex-logo.png respondió 200 en 27.5331 ms
2026-08-14 13:18:48.159 -06:00 [INF] HTTP GET /js/login.js respondió 200 en 3.2493 ms
2026-08-14 13:18:48.173 -06:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/dist/jquery.validate.unobtrusive.min.js respondió 200 en 3.9197 ms
2026-08-14 13:18:48.173 -06:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js respondió 200 en 4.0334 ms
2026-08-14 13:18:48.382 -06:00 [INF] HTTP GET /images/login.png respondió 200 en 171.4926 ms
2026-08-14 13:18:49.348 -06:00 [INF] HTTP GET /favicon.ico respondió 200 en 11.1904 ms
2026-08-14 13:19:00.656 -06:00 [INF] HTTP GET /Account/Register respondió 302 en 17.8086 ms
2026-08-14 13:19:00.698 -06:00 [INF] HTTP GET /Account/Login respondió 200 en 28.0922 ms
2026-08-14 13:19:00.772 -06:00 [INF] HTTP GET /images/convergex-logo.png respondió 304 en 1.1265 ms
2026-08-14 13:19:00.795 -06:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/dist/jquery.validate.unobtrusive.min.js respondió 200 en 11.1590 ms
2026-08-14 13:19:00.787 -06:00 [INF] HTTP GET /css/login.css respondió 200 en 16.0778 ms
2026-08-14 13:19:00.782 -06:00 [INF] HTTP GET /js/login.js respondió 200 en 6.1935 ms
2026-08-14 13:19:00.786 -06:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css respondió 200 en 20.3606 ms
2026-08-14 13:19:00.794 -06:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js respondió 200 en 19.5194 ms
2026-08-14 13:19:00.803 -06:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js respondió 200 en 19.9688 ms
2026-08-14 13:19:00.856 -06:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js respondió 200 en 81.5753 ms
2026-08-14 13:19:00.874 -06:00 [INF] HTTP GET /images/login.png respondió 304 en 0.9834 ms
2026-08-14 13:19:09.122 -06:00 [INF] HTTP POST /Account/Login respondió 200 en 220.8095 ms
2026-08-14 13:19:09.197 -06:00 [INF] HTTP GET /images/convergex-logo.png respondió 304 en 0.5755 ms
2026-08-14 13:19:09.205 -06:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css respondió 200 en 19.5695 ms
2026-08-14 13:19:09.232 -06:00 [INF] HTTP GET /css/login.css respondió 200 en 42.7415 ms
2026-08-14 13:19:09.259 -06:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/dist/jquery.validate.unobtrusive.min.js respondió 200 en 58.6466 ms
2026-08-14 13:19:09.233 -06:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js respondió 200 en 37.0121 ms
2026-08-14 13:19:09.259 -06:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js respondió 200 en 62.7160 ms
2026-08-14 13:19:09.202 -06:00 [INF] HTTP GET /js/login.js respondió 200 en 1.7793 ms
2026-08-14 13:19:09.259 -06:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js respondió 200 en 59.6262 ms
2026-08-14 13:19:09.348 -06:00 [INF] HTTP GET /images/login.png respondió 304 en 0.8604 ms
2026-08-14 13:19:14.672 -06:00 [INF] HTTP GET /Account/Register respondió 302 en 1.2484 ms
2026-08-14 13:19:14.688 -06:00 [INF] HTTP GET /Account/Login respondió 200 en 4.3642 ms
2026-08-14 13:19:14.742 -06:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css respondió 200 en 4.1579 ms
2026-08-14 13:19:14.753 -06:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js respondió 200 en 4.3027 ms
2026-08-14 13:19:14.754 -06:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/dist/jquery.validate.unobtrusive.min.js respondió 200 en 2.3739 ms
2026-08-14 13:19:14.749 -06:00 [INF] HTTP GET /js/login.js respondió 200 en 1.1183 ms
2026-08-14 13:19:14.751 -06:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js respondió 200 en 2.7747 ms
